word,lemma,pos,freq
erkek,erkek,Adj,67826
tarihi,tarihî,Adj,67559
eylül,eylül,Noun,66625
ekim,ek,Noun,65788
kasım,kas,Noun,65744
ardından,ardından,Adv,65512
haziran,haziran,Noun,65417
savaşı,savaş,Noun,64991
içinde,içinde,Adv,64834
kez,kez,Noun,64702
kabul,kabul,Noun,64354
nisan,Nisa,Noun,64258
vardır,varmak,Verb,64026
sahip,sahip,Noun,63714
devletleri,devlet,Noun,63619
temmuz,temmuz,Noun,63448
olmuştur,olmak,Verb,63314
tek,tek,Adj,63050
abd,abd,Noun,62697
ölenler,ölmek,Noun,62454
küçük,küçük,Adj,62270
ağustos,ağustos,Noun,61990
devam,devam,Interj,61873
aralık,aralık,Adj,61855
şarkı,şark,Noun,61305
güney,güney,Adj,61255
fazla,fazla,Adv,60633
parti,parti,Noun,60480
orta,orta,Adj,59871
sayısı,sayı,Noun,59731
köy,köy,Noun,59450
oyuncu,oyun,Noun,59440
ikinci,ikinci,Num,59293
fransa,Frans,Noun,59242
kendi,kendi,Pron,58883
özel,özel,Adj,58495
gelen,gelen,Adj,58124
zaman,zaman,Noun,57819
eden,etmek,Adj,57765
uluslararası,uluslararası,Adj,57690
hem,hem,Adv,57654
kupası,kupa,Noun,57447
şubat,şubat,Noun,57374
filmleri,film,Noun,57236
yaptı,yapmak,Verb,57041
olmak,olmak,Noun,57033
na,Na,Noun,56647
on,on,Num,56424
alman,Alman,Noun,56267
farklı,fark,Adj,55196
sırasında,sırasında,Adv,55030
ankara,Ankara,Noun,54943
iyi,iyi,Adv,54927
teknik,teknik,Adj,54443
kuzey,kuzey,Adj,54438
üzerinde,üzerinde,Adv,54082
geri,geri,Adv,53897
biri,biri,Pron,53741
la,la,Noun,53311
görev,görev,Noun,53035
yeniden,yeniden,Adv,52840
merkezi,merkezî,Adj,52797
çeşitli,çeşitli,Adj,52790
new,New,Noun,52729
takımı,tak,Noun,52563
televizyon,televizyon,Noun,52416
almanya,Almanya,Noun,52329
kısa,kısa,Adv,52222
ilgili,ilgili,Adj,52170
bakınız,bakmak,Verb,51898
ulusal,ulusal,Noun,51619
kurulan,kurmak,Adj,51531
fransız,Fransız,Noun,51074
sadece,sadece,Adv,51065
ortaya,orta,Noun,50897
uzun,uzun,Adv,50823
yılı,yıl,Noun,50753
yüzyıl,yüzyıl,Adv,50708
el,el,Noun,50658
ana,ana,Adj,50241
nedeniyle,nedeniyle,Adv,49795
yaklaşık,yaklaşık,Adj,49702
ilinin,il,Noun,48955
grup,grup,Noun,48744
yılları,yıl,Noun,47925
takım,tak,Noun,47914
boyunca,boyunca,Postp,47571
resmi,resmî,Adj,47351
doğu,doğu,Adj,46852
bulunmaktadır,bulunmak,Verb,46851
birliği,birlik,Noun,46355
lig,lig,Noun,46303
zamanda,zaman,Noun,46129
oyunları,oyun,Noun,46004
halk,halk,Noun,45931
savaş,savaş,Noun,45914
genellikle,genellikle,Adv,44902
oy,oy,Interj,44533
edildi,etmek,Verb,44354
doğru,doğru,Postp,44157
rusya,Rusya,Noun,44098
eğitim,eğitim,Noun,43582
merkezine,merkez,Noun,43443
yüzyılda,yüzyıl,Noun,43379
cumhuriyeti,cumhuriyet,Noun,43130
kişi,kişi,Noun,42694
nüfusu,nüfus,Noun,42687
süre,sürmek,Verb,42484
yaptığı,yapmak,Adj,42263
özellikle,özellikle,Adv,42247
yerine,yerine,Adv,42117
yol,yolmak,Verb,42063
dönem,Döne,Noun,41820
edilen,etmek,Adj,41792
bunun,bu,Pron,41361
rus,Rus,Noun,41296
fakat,fakat,Conj,41173
roma,rom,Noun,41100
başkanı,başkan,Noun,41076
dört,dört,Num,40956
amerikan,Amerikan,Adj,40606
dahil,dâhil,Adv,40552
tarihçe,tarih,Noun,40362
gün,gün,Noun,40133
başka,başka,Adj,39567
altın,altın,Adj,39515
şehir,şehir,Noun,39356
batı,batı,Adj,39316
doğumlu,doğum,Adj,39258
rağmen,rağmen,Postp,39200
video,video,Noun,39190
kazandı,kazanmak,Verb,38944
su,su,Noun,38839
hakkında,hakkında,Adv,38577
sinema,sinema,Noun,38475
altında,alt,Noun,38413
az,az,Postp,38074
grubu,Grub,Noun,37983
ligi,lig,Noun,37584
dizi,diz,Noun,37582
çin,Çin,Noun,37555
coğrafya,coğrafya,Noun,37217
beri,beri,Postp,36920
onun,onmak,Verb,36882
bulunur,bulunmak,Verb,36726
eder,etmek,Verb,36715
il,ilmek,Verb,36685
birkaç,birkaç,Adj,36653
listesi,liste,Noun,36468
john,John,Noun,36319
kariyeri,kariyer,Noun,36316
oyuncuları,oyun,Noun,36223
altı,altı,Num,36163
sezon,sezon,Noun,36075
ama,âmâ,Adj,36073
şampiyonası,şampiyona,Noun,35834
elde,el,Noun,35728
onu,o,Pron,35308
deniz,de,Noun,35170
şu,şu,Det,35076
sonunda,sonunda,Adv,34887
gurbetçi,gurbet,Noun,34505
arasındaki,ara,Adj,34191
adıyla,ad,Noun,34116
bilinen,bilinen,Adj,34103
kullanılan,kullanmak,Adj,34066
york,York,Noun,33938
almıştır,almak,Verb,33797
geçen,geçen,Adj,33733
paşa,paşa,Adj,33724
bölüm,bölü,Noun,33523
sanat,sanat,Noun,33440
tv,tv,Noun,33420
edilmiştir,etmek,Verb,33214
hava,hava,Adj,33162
ali,ali,Adj,33148
sosyal,sosyal,Adj,33077
aday,aday,Noun,32994
tekrar,tekrar,Adv,32866
ait,ait,Postp,32809
burada,bura,Noun,32736
oluşan,oluşmak,Adj,32589
üçüncü,üçüncü,Num,32537
sahiptir,sahip,Verb,32475
yakın,yakın,Adv,32440
ele,elemek,Verb,32276
tam,tam,Adj,32273
yapan,yapmak,Adj,32175
uzaklıktadır,uzak,Verb,32104
hayvan,hayvan,Adj,32079
siyasi,siyasî,Adj,31994
oranı,ora,Noun,31886
verdi,vermek,Verb,31880
söz,söz,Noun,31872
yi,Yi,Noun,31700
genç,genç,Adj,31611
spor,spor,Adj,31559
filmi,film,Noun,31425
sitesi,site,Noun,31386
tiyatro,tiyatro,Noun,31325
geldi,gelmek,Verb,31050
ili,il,Noun,31023
açık,açık,Adv,31010
sırada,sıra,Noun,30884
oyuncular,oyun,Noun,30804
yarı,yarı,Adv,30735
olması,olmak,Noun,30530
mahalle,mahal,Noun,30435
milyon,milyon,Num,30392
sıra,sır,Noun,30390
çıkan,çıkmak,Adj,30119
oyun,oymak,Verb,30107
afrika,Afrika,Noun,30032
birinci,birinci,Num,30011
yine,yine,Adv,29884
yerel,yerel,Adj,29779
to,To,Noun,29748
olmayan,olmak,Adj,29694
paris,Paris,Noun,29680
yazar,yazar,Adj,29676
merkez,merkez,Noun,29649
askeri,askerî,Adj,29492
inşa,inşa,Noun,29431
neden,neden,Adv,29410
itibaren,itibaren,Postp,29404
yaz,yazmak,Verb,29278
belediye,beledi,Noun,29194
adını,ad,Noun,29183
oğlu,oğul,Noun,29130
çocuk,çocuk,Adj,29060
çıktı,çıkmak,Verb,28994
sonraki,sonra,Adj,28976
bilim,bili,Noun,28970
final,final,Noun,28872
hareket,hareket,Noun,28718
anadolu,Anadol,Noun,28697
almaktadır,almak,Verb,28615
verilen,vermek,Adj,28492
etmek,etmek,Noun,28486
üst,üst,Adj,28445
web,Web,Noun,28422
döneminde,dönem,Noun,28387
azerbaycan,Azerbaycan,Noun,28343
profesyonel,profesyonel,Adj,28319
beyaz,beyaz,Adj,28289
league,League,Noun,28278
alt,alt,Adj,28157
yapımı,yapı,Noun,28147
cumhuriyet,cumhuriyet,Noun,28055
üyesi,üye,Noun,27927
bağımsız,bağımsız,Adj,27902
şehrin,şehir,Noun,27888
tür,tür,Adj,27884
familyasına,familya,Noun,27697
üyeleri,üye,Noun,27694
sistemi,sistem,Noun,27641
çoğu,çoğu,Det,27569
mahalleleri,mahalle,Noun,27352
bilgi,bilgi,Noun,27281
sonucu,sonuç,Noun,27192
sezonunda,sezon,Noun,27188
japonya,Japonya,Noun,27183
ten,te,Noun,27094
öğrenim,öğrenim,Noun,26726
beş,beş,Num,26708
türkçe,Türk,Noun,26683
olur,olur,Adj,26653
yapmıştır,yapmak,Verb,26639
etmiştir,etmek,Verb,26576
aldığı,almak,Adj,26559
temel,temel,Adj,26496
bin,bin,Num,26473
krallık,Krallık,Noun,26305
gol,gol,Noun,26303
sonuçlar,sonuçlamak,Verb,26270
ev,ev,Noun,26161
sovyet,Sovyet,Noun,26151
asya,Asya,Noun,26067
ödülleri,ödül,Noun,25919
gelir,gelmek,Verb,25893
dolayı,dolayı,Postp,25834
tarih,tarih,Noun,25707
iş,iş,Noun,25655
dışında,dış,Noun,25589
alır,almak,Verb,25568
rol,rol,Noun,25539
albüm,albüm,Noun,25454
ay,ay,Interj,25432
albümleri,albüm,Noun,25348
ün,ün,Noun,25320
belde,bel,Noun,25301
itibarıyla,itibarıyla,Adv,25300
yarışması,yarışmak,Noun,25238
madalya,madalya,Noun,25118
bölümü,bölü,Noun,25091
yanı,yan,Noun,25061
örneğin,örneğin,Conj,25055
karar,karmak,Verb,25045
yılından,yıl,Noun,25045
nden,N,Noun,25043
temsil,temsil,Noun,24995
bölgesi,bölge,Noun,24962
sahipleri,sahip,Noun,24898
mö,mö,Adj,24833
kalan,kalmak,Adj,24816
albümü,albüm,Noun,24816
japon,Japon,Noun,24765
hayatı,hayat,Noun,24749
insan,insan,Adj,24722
tbmm,Tbmm,Noun,24714
yaşında,yaş,Noun,24686
babası,baba,Noun,24632
le,le,Noun,24592
bütün,bütün,Adj,24582
kara,kara,Adj,24569
mısır,mısır,Noun,24498
süper,süper,Adj,24425
cinsidir,cinsî,Verb,24416
konusu,konu,Noun,24335
resmî,resmî,Adj,24327
ilçe,ilçe,Noun,24299
öldü,ölmek,Verb,24296
dönemde,Döne,Noun,24275
ordusu,Ordu,Noun,24216
kültür,kültür,Noun,24204
mahalledir,mahal,Verb,24094
mehmet,Mehmet,Noun,24086
görenler,görmek,Noun,24080
buna,bunamak,Verb,24033
modern,modern,Adj,23984
katıldı,katılmak,Verb,23912
düzenlenen,düzenlemek,Adj,23911
günümüzde,gün,Noun,23792
edilir,etmek,Verb,23730
hemen,hemen,Adv,23719
doğdu,doğmak,Verb,23489
herhangi,herhangi,Adj,23448
asıllı,asıl,Adj,23379
geniş,geniş,Adj,23327
kaldı,kalmak,Verb,23312
yönetim,Yönet,Noun,23286
for,For,Noun,23167
ülke,ülke,Noun,23164
yerleşim,yerleşim,Noun,23063
sahibi,sahip,Noun,22999
ona,onmak,Verb,22840
yaş,yaş,Adj,22790
yunan,yunmak,Adj,22782
kullanılır,kullanmak,Verb,22779
eurovision,Eurovision,Noun,22778
günü,gün,Noun,22740
yardımcı,yardımcı,Adj,22712
bölge,bölge,Noun,22684
bey,bey,Noun,22634
böylece,böylece,Adv,22597
fakültesi,fakülte,Noun,22590
yıllarında,yıl,Noun,22512
var,var,Adj,22468
şehirler,şehir,Noun,22453
içeren,içermek,Adj,22451
ifade,ifade,Noun,22428
pek,pek,Adv,22294
olimpiyatları,olimpiyat,Noun,22281
yıllık,yıllık,Adj,22272
kuvvetleri,Kuvvet,Noun,22186
bulunduğu,bulunmak,Adj,22182
ki,ki,Conj,22144
isimli,isim,Adj,22074
kazanan,kazanmak,Adj,21966
serbest,serbest,Adv,21927
kadınlar,kadın,Noun,21908
ünlü,ün,Adj,21892
bakanlığı,bakanlık,Noun,21876
beraber,beraber,Adj,21852
idi,imek,Verb,21841
önceki,önce,Adj,21815
ortak,ortak,Adj,21807
mücadele,mücadele,Noun,21756
araştırma,araştırmak,Verb,21681
sayıda,sayı,Noun,21671
resim,resim,Noun,21580
at,atmak,Verb,21539
mustafa,Mustafa,Noun,21522
başarılı,başarı,Adj,21455
sona,son,Noun,21444
londra,Londra,Noun,21443
alanı,ala,Noun,21328
başlayan,başlamak,Adj,21296
futbolcu,futbol,Noun,21293
vardı,varmak,Verb,21291
futbolcudur,futbol,Verb,21265
adalet,adalet,Noun,21262
ordu,Ordu,Noun,21258
benzer,benzer,Adj,21149
suriye,Suri,Noun,20994
ettiği,etmek,Adj,20842
gerçek,gerçek,Adj,20809
single,Sing,Noun,20731
hizmet,hizmet,Noun,20690
köyleri,köy,Noun,20682
ekonomik,ekonomik,Adj,20667
polonya,Polonya,Noun,20652
center,center,Noun,20632
kitap,Kitap,Noun,20521
içerisinde,içeri,Noun,20454
biridir,biri,Verb,20453
siyasetçiler,Siyaset,Noun,20426
değil,değil,Conj,20391
kurulu,kurul,Noun,20338
yani,yani,Adv,20256
hiçbir,hiçbir,Det,20251
ayında,Ay,Noun,20241
anlamına,anlam,Noun,20217
yılın,yılmak,Verb,20194
güçlü,güçlü,Adj,20186
ndeki,N,Adj,20186
şarkıları,şarkı,Noun,20160
kız,kız,Interj,20149
yunanistan,Yunanistan,Noun,20108
bakanı,bakan,Noun,20096
iç,iç,Adj,20095
haline,hal,Noun,20093
başına,baş,Noun,20092
ülkenin,ülke,Noun,20090
köydür,köy,Verb,20077
girdi,girmek,Verb,20072
yalnızca,yalnızca,Adv,19997
konusunda,konu,Noun,19925
şarkıcı,şarkı,Noun,19906
transfer,transfer,Noun,19714
ses,ses,Noun,19701
ilan,ilân,Noun,19664
sultan,sulta,Noun,19661
erken,erken,Adv,19650
olimpiyat,olimpiyat,Noun,19627
yıllarda,yıl,Noun,19611
maç,maç,Noun,19591
yaygın,yaygın,Adj,19537
kaynak,Kaynak,Noun,19477
rock,Rock,Noun,19405
çalıştı,çalışmak,Verb,19386
oynadı,oynamak,Verb,19369
dizileri,dizi,Noun,19334
sezonu,sezon,Noun,19327
kralı,kral,Noun,19286
oldukça,oldukça,Adv,19245
avusturya,Avusturya,Noun,19240
doğal,doğal,Adj,19238
ni,Ni,Noun,19231
teki,tek,Noun,19230
david,David,Noun,19220
maçta,maç,Noun,19207
antik,antik,Adj,19174
dil,dilmek,Verb,19156
yanında,yanında,Adv,19114
çünkü,çünkü,Conj,19102
hukuk,hukuk,Noun,19096
geçti,geçmek,Verb,19067
william,William,Noun,19036
kontrol,kontrol,Noun,19005
yılına,yıl,Noun,18981
dünyanın,dünya,Noun,18953
yazarı,yazar,Noun,18922
kulüp,Kulüp,Noun,18911
yabancı,yabancı,Adj,18904
ön,ön,Adj,18885
dır,dır,Dup,18885
an,anmak,Verb,18851
sonrasında,sonra,Noun,18763
veren,vermek,Adj,18760
yayın,yaymak,Verb,18695
bunu,bu,Pron,18670
arap,arap,Adj,18648
uygun,uygun,Adj,18644
izin,iz,Noun,18640
filmin,film,Noun,18625
san,sanmak,Verb,18601
no,No,Noun,18513
güneş,Güneş,Noun,18507
bizans,Bizans,Noun,18449
yıldız,yıldız,Adj,18433
parçası,parça,Noun,18414
merkezli,merkez,Adj,18364
kanada,kana,Noun,18359
metre,metre,Noun,18321
amacıyla,amaç,Noun,18318
başkan,başkan,Noun,18305
çalışmaları,çalışmak,Noun,18302
taki,Taki,Noun,18296
değildir,değil,Verb,18283
türüdür,tür,Verb,18271
yahudi,Yahudi,Noun,18255
james,James,Noun,18228
iddia,iddia,Noun,18214
yaşamı,yaşam,Noun,18200
ahmet,Ahmet,Noun,18199
okulu,okul,Noun,18185
tamamen,tamamen,Adv,18173
tespit,tespit,Noun,18166
avustralya,Avustralya,Noun,18149
edilmiş,etmek,Adj,18139
ek,ek,Adj,18138
yardım,yarmak,Verb,18127
van,Van,Noun,18099
nehri,nehir,Noun,18087
saat,saat,Noun,18079
sol,sol,Adj,18020
yayınlanan,yayınlamak,Adj,18011
başkanlığı,başkan,Noun,18003
sağlık,Sağlık,Noun,17990
forma,form,Noun,17982
kral,kral,Adj,17921
köyün,köy,Noun,17901
düşük,düşük,Adj,17889
yok,yok,Adj,17874
saha,Saha,Noun,17860
uefa,Uefa,Noun,17848
meydana,meydan,Noun,17821
windows,Windows,Noun,17782
sonucunda,sonuç,Noun,17780
sovyetler,Sovyet,Noun,17765
mezun,mezun,Adj,17759
michael,Michael,Noun,17757
devleti,devlet,Noun,17738
seçildi,seçilmek,Verb,17692
hollanda,Holland,Noun,17690
geleneksel,gelenek,Adj,17622
boş,boş,Adv,17621
kore,Kore,Noun,17611
dr,Dr,Noun,17555
nedenle,neden,Noun,17554
ukrayna,Ukrayna,Noun,17542
çalışma,çalışmak,Verb,17524
sonrası,sonra,Noun,17516
cm,Cm,Noun,17465
tan,tan,Noun,17460
robert,Robert,Noun,17457
siyasetçi,Siyaset,Noun,17421
left,Left,Noun,17397
oyuncusu,oyun,Noun,17390
başlamıştır,başlamak,Verb,17359
bulundu,bulunmak,Verb,17340
world,World,Noun,17330
roman,Roma,Noun,17318
yönetmen,yönetmen,Noun,17282
yazarları,yazar,Noun,17262
tarihli,tarih,Adj,17227
güvenlik,güvenlik,Noun,17128
tiyatrosu,tiyatro,Noun,17111
kardeşi,kardeş,Noun,17103
yüzyılın,yüzyıl,Noun,17098
der,demek,Verb,17096
ayrı,ayrı,Adj,17086
festivali,festival,Noun,17085
başında,baş,Noun,17081
ederek,etmek,Adv,17048
şeklinde,şekil,Noun,16997
adam,ada,Noun,16995
yayınlandı,yayınlamak,Verb,16950
iken,iken,Adv,16934
civil,Civil,Noun,16924
hızlı,hızlı,Adj,16923
adet,âdet,Noun,16921
üzerinden,Üzer,Noun,16904
komedi,komedi,Noun,16879
kızı,kız,Noun,16840
li,Li,Noun,16753
ağır,ağır,Adv,16703
yana,yana,Postp,16696
aşağıdaki,aşağı,Adj,16688
dizisi,dizi,Noun,16683
piyasaya,piyasa,Noun,16633
basketbol,basketbol,Noun,16628
ticaret,ticaret,Noun,16623
kendisi,kendi,Pron,16591
enerji,enerji,Noun,16580
etmektedir,etmek,Verb,16562
kuruldu,kurmak,Verb,16538
şehri,şehir,Noun,16504
sık,sık,Adj,16479
güç,güç,Adv,16449
pop,pop,Adj,16446
ismi,isim,Noun,16433
yaşam,yaşam,Noun,16402
dönemi,Döne,Noun,16390
erkekler,Erkek,Noun,16389
hale,hal,Noun,16372
kıbrıs,Kıbrıs,Noun,16360
yazdığı,yazmak,Adj,16359
kendisine,kendi,Pron,16330
berlin,Berlin,Noun,16316
çıkışlı,çıkış,Adj,16277
para,par,Noun,16258
bile,bile,Adv,16225
verildi,vermek,Verb,16203
artık,artık,Adv,16160
oyunu,oy,Noun,16146
hindistan,Hindistan,Noun,16102
durum,durum,Noun,16100
savunma,savunmak,Verb,16098
çift,çift,Adj,16095
al,al,Adj,16083
demokratik,demokratik,Adj,16061
sayı,say,Noun,16012
puan,puan,Noun,15970
city,City,Noun,15969
fenerbahçe,Fenerbahçe,Noun,15934
hafta,hafta,Adv,15907
uzay,Uzay,Noun,15886
arka,arka,Adj,15875
yayınları,yayın,Noun,15759
milletvekilleri,milletvekil,Noun,15756
bölgesinde,bölge,Noun,15733
enstitüsü,enstitü,Noun,15731
bunlar,bu,Pron,15717
anda,an,Noun,15709
bununla,bu,Pron,15705
han,Han,Noun,15696
aile,aile,Noun,15688
kitabı,kitap,Noun,15673
oluşturulan,oluşmak,Adj,15671
bitki,bitki,Noun,15564
bilinir,bilmek,Verb,15558
yapıldı,yapmak,Verb,15529
george,George,Noun,15465
belirli,belirli,Adj,15391
maçı,maç,Noun,15385
yönelik,yönelik,Postp,15345
yönetimi,Yönet,Noun,15336
kırmızı,kırmızı,Adj,15275
galatasaray,Galatasaray,Noun,15264
satın,satmak,Verb,15261
çalışan,çalışmak,Adj,15255
los,los,Noun,15240
barış,barışmak,Verb,15233
you,You,Noun,15231
konu,konu,Noun,15218
kariyerine,kariyer,Noun,15199
popüler,popüler,Adj,15118
alarak,almak,Adv,15113
paul,Paul,Noun,15110
akdeniz,Akdeniz,Noun,15110
arası,ara,Noun,15109
kişiler,kişi,Noun,15103
orijinal,orijinal,Adj,15066
içerir,içermek,Verb,15063
verdiği,vermek,Adj,15046
olmasına,olmak,Noun,15040
grubun,Grub,Noun,15038
cinsine,cins,Noun,15018
askerî,askerî,Adj,15010
baş,baş,Noun,15007
by,By,Noun,15004
öğretim,öğreti,Noun,14983
brezilya,Brezilya,Noun,14939
dair,dair,Postp,14887
klasik,klâsik,Noun,14884
muhammed,Muhammed,Noun,14846
şirketi,şirket,Noun,14841
kısmı,kısım,Noun,14804
mevcut,mevcut,Adj,14791
eğitimi,eğitim,Noun,14770
derneği,dernek,Noun,14757
dördüncü,dördüncü,Num,14747
annesi,Anne,Noun,14746
şarkılar,şarkı,Noun,14744
yolu,yol,Noun,14734
milletvekili,milletvekili,Noun,14721
portekiz,Portekiz,Noun,14678
yedi,yedi,Num,14666
sanatçı,sanat,Noun,14664
başlar,başlamak,Verb,14658
ölümü,ölü,Noun,14634
et,etmek,Verb,14616
edebiyat,edebiyat,Noun,14606
oluşur,oluşmak,Verb,14577
gürcistan,Gürcistan,Noun,14575
olsa,olmak,Verb,14572
şarkısı,şarkı,Noun,14560
seçimleri,seçim,Noun,14539
ailesi,aile,Noun,14523
krallığı,kral,Noun,14513
tıp,tıp,Noun,14508
belediyesi,belediye,Noun,14497
kulübü,kulüp,Noun,14452
von,Von,Noun,14443
kalkınma,kalkınmak,Verb,14353
müziği,müzik,Noun,14351
üzerindeki,Üzer,Adj,14349
güzel,güzel,Adj,14340
verir,vermek,Verb,14333
tipi,tip,Noun,14321
maçında,maç,Noun,14313
hükûmeti,hükûmet,Noun,14302
kendini,kendi,Pron,14296
radyo,radyo,Noun,14290
seçim,seçi,Noun,14288
eğer,eğer,Conj,14284
bazen,bazen,Adv,14277
meclisi,Meclis,Noun,14269
yapı,yapı,Noun,14229
durumu,durum,Noun,14217
alanında,alan,Noun,14207
metal,metal,Adj,14188
bilgisayar,bilgisayar,Noun,14171
şey,şey,Noun,14162
kötü,kötü,Adj,14161
love,Love,Noun,14157
charles,Charles,Noun,14147
destek,destek,Noun,14144
tur,tur,Noun,14137
doğrudan,doğrudan,Adv,14131
takip,takip,Noun,14124
direktörleri,direktör,Noun,14119
kurulmuştur,kurmak,Verb,14111
sürekli,sürekli,Adv,14062
yapılmıştır,yapmak,Verb,14053
eserleri,eser,Noun,14051
müzesi,müze,Noun,14033
tip,tip,Adj,14021
başkenti,başkent,Noun,13993
saint,Saint,Noun,13974
kişinin,kişi,Noun,13954
kişisel,kişisel,Adj,13953
defa,defa,Noun,13938
adına,adına,Adv,13927
doğum,doğu,Noun,13922
yönettiği,yönetmek,Adj,13915
kemal,kemal,Noun,13913
ermeni,Ermeni,Noun,13906
olmuş,olmak,Adj,13904
general,general,Noun,13890
kaliforniya,Kaliforniya,Noun,13879
kg,kg,Noun,13873
bilimsel,bilimsel,Adj,13864
km²,km²,Noun,13863
with,With,Noun,13824
söyledi,söylemek,Verb,13789
yönünde,yön,Noun,13751
internet,İnternet,Noun,13738
dili,dil,Noun,13733
şampiyon,şampiyon,Noun,13713
ölüm,ölüm,Interj,13706
elektrik,Elektrik,Noun,13698
gece,gece,Adv,13678
siyah,siyah,Adj,13649
akademisi,akademi,Noun,13633
tanrı,tanrı,Noun,13631
zorunda,zor,Noun,13611
moskova,Moskova,Noun,13578
sahne,sahne,Noun,13563
geçersiz,geçersiz,Adj,13552
ben,ben,Pron,13545
peter,Peter,Noun,13522
normal,normal,Adj,13517
eyaletinde,eyalet,Noun,13483
nasıl,nasıl,Adv,13462
hiç,hiç,Adv,13423
liga,liga,Noun,13423
tarihleri,tarih,Noun,13421
macaristan,Macaristan,Noun,13359
döndü,dönmek,Verb,13335
hükûmet,hükûmet,Noun,13316
şirket,şirket,Noun,13301
dünyaya,dünya,Noun,13295
gurbetçiler,gurbet,Noun,13267
jean,Jean,Noun,13245
bölgede,bölge,Noun,13218
as,as,Adj,13216
seçmen,seçmen,Noun,13204
müslüman,Müslüman,Noun,13179
komünist,komünist,Noun,13169
yapmış,yapmak,Adj,13133
kurdu,kurmak,Verb,13084
beşiktaş,Beşiktaş,Noun,13041
öne,önemek,Verb,13023
sandık,sanmak,Verb,13009
öncesi,önce,Noun,12999
bunların,bu,Pron,12991
özellikleri,özellik,Noun,12983
hristiyan,Hristiyan,Noun,12978
türü,tür,Noun,12970
bugün,bugün,Adv,12965
yazarlar,yazmak,Verb,12933
geçmektedir,geçmek,Verb,12919
gümüş,gümüş,Adj,12903
stüdyo,stüdyo,Noun,12899
university,University,Noun,12877
karşısında,karşı,Noun,12872
idari,idarî,Noun,12843
bursa,burmak,Verb,12807
yerli,yerli,Adj,12800
lisesi,lise,Noun,12800
ölçüde,ölçü,Noun,12752
sayesinde,sayesinde,Adv,12711
gitar,gitar,Noun,12703
si,si,Noun,12681
sporcular,sporcu,Noun,12679
park,park,Noun,12678
yılının,yıl,Noun,12676
